,B/Plasma,Cancer Epithelial,Endothelial,Fibroblasts,Myeloid,PVL,T/NK Cells
DSTN,1.1977392965275209,9.92484382559277,3.960672008622068,8.528509431414195,1.1725375603620538,21.9523010237412,1.2984700179288948
DUSP2,3.2926794785779374,0.4820500220039282,0.2291703848652521,0.24155938970540777,2.370749359579705,0.20995706719390275,10.371094013091872
ECRG4,0.013376582009951222,0.6596509782744967,0.19093439481595018,0.1219863225151282,0.007215925032315233,3.1319687093535324,0.017090249242123576
EDN1,0.05156567770289052,0.31555839723300483,2.7557679829126496,0.04734255674715011,0.0322617387417644,0.05627501938304266,0.030251405781932587
EGFL7,0.10008657566533773,0.20688002959995838,7.409524157858804,0.19198460875882423,0.10873530910080302,0.13389173939395,0.02874088710003144
ELF3,0.16523012214223273,6.320590281128839,0.13074565321944598,0.2292399007966,0.1706812517928525,0.3737456956490077,0.11741292166016518
EMCN,0.056475301265835075,0.061953146362239725,5.224709521337845,0.095777181436273,0.015465183665786416,0.14966320466372054,0.018245694454488676
EMP1,0.14372237011914432,0.7534629598326656,5.134320099508683,2.780399621396799,0.5725709971007115,0.5467752444602837,0.08993877798372599
ENG,0.15850140411867975,0.17034829418092218,8.888646292627183,0.6825431397773191,1.0724596903405044,0.5489020088646202,0.18599077679396062
EPCAM,0.0794725191800369,2.016214654173667,0.07121442257093502,0.10135777901201096,0.059047090766482006,0.15421488458408703,0.04721737512300809
ESAM,0.06822056597009524,0.249744433877967,5.077998492351396,0.23050268593208767,0.013717220880793777,1.9370356264402497,0.018303304483415918
EVL,1.7636188067405112,1.8481041921487256,0.573868926146472,0.7858828236097342,1.1630366520931141,0.3771143486139738,5.924717818871226
FABP4,0.2698823487359008,0.8944021404571493,28.223757518360454,0.7950744608158178,2.1574576311126084,4.921763371046597,0.15816840723184022
FBLN1,0.06160873391296368,0.22081360210895135,0.04224252820432922,5.874462936230646,0.031967125950409625,0.2686388358950159,0.054916596546050064
FBN1,0.030910092413890086,0.0626729724587507,0.8613112170864727,4.6594409610908665,0.02131983966701614,0.3889100855962668,0.026775530116900693
FCER1G,1.650491324068312,0.4339575870130894,0.4167614709683294,1.127656078501674,15.427080388655888,0.12025197821122037,3.162195506195294
FCGR2A,0.1988114528062699,0.07951994055823128,0.039680529784053134,0.13376203091000652,3.574938113258868,0.157114256635676,0.05669686202718156
FDCSP,0.185704247495347,2.576935901305918,0.07948092366773489,0.12612884852763145,0.11060316764064543,0.09119070001701483,0.07280719515522452
FGFBP2,0.009479470388801885,0.22227161619635047,0.0019168854788855537,0.020558247582962937,0.02542568544466831,0.0018615923711222337,3.2779581206625865
FKBP1A,1.6098394956431523,2.0060486207782584,13.763590950517447,2.4513037823891866,3.025040332595925,2.535886032851911,1.9263545874792425
FLT1,0.06546858753547392,0.04851180117135562,2.9766692258946,0.09555633703931364,0.111400393879372,0.09624471691069712,0.022147394248046917
FN1,0.9353009637089397,1.3464655541865138,3.2173490467330765,43.32926493610035,8.443791130083287,5.306332582763357,0.48522904090454455
FRZB,0.045263391459226955,0.47814997561953565,0.05149966660459049,1.4770147784676495,0.00981767440970997,3.8297588557892204,0.01809667837828402
FTL,38.593038369822,26.09060871600406,22.88982426878497,51.10218735175499,293.10203667405415,22.383907336520544,16.46925079831341
FXYD3,0.18598814051902027,5.619638420652057,0.15668893543584397,0.44231199851185743,0.2278673667134573,0.6357885513684727,0.09373444883299044
GATA3,0.22240048359745357,4.4257224824546855,0.13014939683174725,0.387043920718846,0.23119050494315269,0.3646270692574953,1.2480509854906676
GJA4,0.03202308036276985,0.3142652856599717,1.466460024912771,0.3252706433600261,0.008137779444812698,3.5639188454086836,0.00653708983836973
GNG11,0.18539056625249992,0.27874971908984925,9.339468977637782,1.4422410889728214,0.07669247856844907,1.3431181368978833,0.03715288304649032
GNLY,0.7528206408181215,0.14357306677382056,0.12451250987326584,0.1492750717833039,0.21034446471271323,0.02315697818451795,30.067156870937588
GPNMB,0.4386576076405161,0.4864504801108539,0.19215642341217315,2.4192969535666173,6.177068381773791,0.7379637297779851,0.09952265277144395
GPX1,3.633943437894687,1.1504801735095187,4.456212834344576,2.7627826945245806,13.74893666375133,1.915278979882396,1.2382591334356863
GRN,1.8339209855906322,1.1627073489652966,3.180663407450343,2.0588883749243734,11.474393760872688,1.340527130715573,0.4989162010356446
GZMA,0.48875724760376493,0.08762315652638111,0.048706221529483416,0.09540508867373793,0.1802302088500199,0.05549603078133129,8.74608251924141
GZMB,2.2158264703322366,0.050830540901178056,0.038879574745189105,0.04176323897344867,0.1404124404774938,0.04220861365275108,9.055656116076431
GZMH,0.12939716331591322,0.022495100300062933,0.012239385742217663,0.02838562243923813,0.059675326359896586,0.03667866801429915,3.2630407119071894
GZMK,0.42986194364330604,0.062207929564392195,0.03286567406042227,0.08512644979138632,0.10955015316092441,0.030829061734958346,4.099304168090107
GZMM,0.1814977341714667,0.03368236609645263,0.007409584458777374,0.02267678356069997,0.04974906723321011,0.0,2.6229006278348153
HCST,1.744795949323754,0.23847451652739365,0.1289032780395039,0.19500182590756374,3.232099891620811,0.08716453964880952,8.580639796898007
HES1,0.41833716311436403,6.927620288985905,3.63264660631891,3.0335347938518678,0.9781216095304897,2.4148696115953876,0.07306479159374157
HIGD1B,0.007322949207598874,0.13886750942708,0.07912460197133143,0.35136401314975796,0.002847885290715105,2.682745105613427,0.0007409804119370703
HLA-DPA1,14.107134965746797,1.1369125676325782,8.335744950316306,1.1902397933268147,35.822989364675216,0.41802876611861656,2.6607317450265997
HLA-DPB1,13.14649933890807,1.2077175467323087,6.526729457604771,1.2390959825452184,33.44897207607209,0.6715193686813177,2.8530900499942966
HLA-DQA1,7.214467741060512,0.3681659141824145,2.0636434327017232,0.3537291510749621,15.05488813041335,0.1608821461230269,0.9188440086935561
HLA-DQB1,7.99798604456898,0.5548540536825421,2.469212659448797,0.3991707093298194,15.614478875893555,0.15360936757415253,1.0742572605404115
HLA-DRA,31.1790026160414,2.95764722476007,16.496650115220355,2.356417563160514,83.89614216280323,0.9926233617222192,2.798279910386716
